Exercise,Category,Type,Goal,Sets/Duration,Reps
Standing cable twist,Core,gym,general fitness,3,12
30 Cable Rope Crunch,Core,gym,general fitness,3,12
30 Cable Rope Oblique Crunch,Core,gym,general fitness,3,12
Cable lying twist on ball,Core,gym,general fitness,3,12
30 Cable Pallof Press,Core,gym,general fitness,3,12
30 Cable Reverse Crunch On Ball,Core,gym,general fitness,3,12
30 Cable Reverse Crunch,Core,gym,general fitness,3,12
Tyler Holt Cable Torso Twist,Core,gym,general fitness,3,12
Single-Arm Cable Outward-Facing Biceps Curl,Core,gym,general fitness,3,12
Biceps Rope Curl,Core,gym,general fitness,3,12
Kneeling Cable Crunches,Core,gym,general fitness,3,12
Ab Crunch Machine,Core,gym,general fitness,3,12
Smith machine straight-legged hip raise,Core,gym,general fitness,3,12
Machine crunch,Core,gym,general fitness,3,12
AM Ab Machine,Core,gym,general fitness,3,12
Smith machine V-up,Core,gym,general fitness,3,12
Elbow plank,Core,gym,general fitness,3,12
Bottoms Up,Core,gym,general fitness,3,12
Spider crawl,Core,gym,general fitness,3,12
Cocoons,Core,gym,general fitness,3,12
Cross-Body Crunch,Core,gym,general fitness,3,12
Elbow-to-knee crunch,Core,gym,general fitness,3,12
Decline Crunch,Core,gym,general fitness,3,12
Hanging toes-to-bar,Core,gym,general fitness,3,12
Hanging Oblique Knee Raise,Core,gym,general fitness,3,12
Gorilla Chin/Crunch,Core,gym,general fitness,3,12
Hanging leg raise,Core,gym,general fitness,3,12
Mountain climber,Core,gym,general fitness,3,12
Ab bicycle,Core,gym,general fitness,3,12
3/4 sit-up,Core,gym,general fitness,3,12
Reverse crunch,Core,gym,general fitness,3,12
Crunches,Core,gym,general fitness,3,12
Dead bug reach,Core,gym,general fitness,3,12
Crunch - Hands Overhead,Core,gym,general fitness,3,12
V-up,Core,gym,general fitness,3,12
Stomach Vacuum,Core,gym,general fitness,3,12
Russian twist,Core,gym,general fitness,3,12
Flat Bench Lying Leg Raise,Core,gym,general fitness,3,12
Knees tucked crunch,Core,gym,general fitness,3,12
Butt-Ups,Core,gym,general fitness,3,12
Feet-elevated oblique crunch,Core,gym,general fitness,3,12
Bent-knee reverse crunch,Core,gym,general fitness,3,12
Alternating heel-touch,Core,gym,general fitness,3,12
Suspended Reverse Crunch,Core,gym,general fitness,3,12
Lying bench reverse crunch,Core,gym,general fitness,3,12
Sit-up,Core,gym,general fitness,3,12
Side Bridge,Core,gym,general fitness,3,12
Lying oblique crunch,Core,gym,general fitness,3,12
Janda Sit-Up,Core,gym,general fitness,3,12
Leg Pull-In,Core,gym,general fitness,3,12
Side Jackknife,Core,gym,general fitness,3,12
Scissor Kick,Core,gym,general fitness,3,12
Toe Touchers,Core,gym,general fitness,3,12
Lower Back Curl,Core,gym,general fitness,3,12
Exercise ball torso rotation,Core,gym,general fitness,3,12
Seated Overhead Stretch,Core,gym,general fitness,3,12
Overhead Stretch,Core,gym,general fitness,3,12
Seated Scissor Kick,Core,gym,general fitness,3,12
